UMAP 1,UMAP 2,Latent ID
11.36263,11.613133,layers.14_latent602
9.16878,11.590754,layers.14_latent603
10.963379,11.641863,layers.14_latent604
9.770029,8.261363,layers.14_latent605
11.38713,11.32558,layers.14_latent606
9.907085,10.738556,layers.14_latent608
8.948349,9.266076,layers.14_latent609
9.120553,11.077144,layers.14_latent610
9.098626,10.871841,layers.14_latent611
9.064981,10.79554,layers.14_latent612
9.348477,11.001199,layers.14_latent613
9.751821,8.785723,layers.14_latent614
10.0381365,11.703709,layers.14_latent616
9.873572,11.2357435,layers.14_latent617
7.9202642,12.320229,layers.14_latent618
9.560969,12.576683,layers.14_latent619
8.860924,10.695033,layers.14_latent620
10.350323,9.187998,layers.14_latent621
9.149222,10.831887,layers.14_latent622
9.657881,10.908605,layers.14_latent623
7.511994,11.498174,layers.14_latent625
10.0908985,9.329747,layers.14_latent626
8.361578,9.718953,layers.14_latent627
12.116003,12.25302,layers.14_latent628
11.844859,12.072859,layers.14_latent629
11.445096,12.252135,layers.14_latent630
11.098028,9.113677,layers.14_latent631
11.467104,11.973535,layers.14_latent632
11.437635,13.222446,layers.14_latent633
9.580418,8.666894,layers.14_latent634
8.533576,11.603967,layers.14_latent635
9.114948,10.925266,layers.14_latent636
11.644767,11.949319,layers.14_latent637
10.249907,8.368442,layers.14_latent638
11.916334,12.201774,layers.14_latent639
9.153068,11.057316,layers.14_latent640
11.652106,8.359659,layers.14_latent641
11.945742,11.835897,layers.14_latent642
11.74902,8.3349,layers.14_latent643
9.157097,11.719563,layers.14_latent644
9.221667,10.993906,layers.14_latent645
11.908311,11.732556,layers.14_latent646
8.914421,10.925275,layers.14_latent647
9.7934475,11.50688,layers.14_latent648
10.400652,8.560013,layers.14_latent649
8.2205515,11.919064,layers.14_latent651
8.333159,11.495701,layers.14_latent652
9.059088,10.892704,layers.14_latent654
9.1752,11.081605,layers.14_latent655
9.076714,10.809689,layers.14_latent656
8.4330635,11.973209,layers.14_latent657
11.794772,8.168727,layers.14_latent658
11.683449,8.116281,layers.14_latent659
10.220592,8.647698,layers.14_latent660
9.091606,10.795853,layers.14_latent661
8.552915,8.186,layers.14_latent662
9.493955,10.7875395,layers.14_latent663
12.159498,12.045049,layers.14_latent664
9.600508,9.994048,layers.14_latent665
11.566159,10.867581,layers.14_latent666
9.889617,13.256114,layers.14_latent667
8.292066,12.280928,layers.14_latent668
11.507364,13.235316,layers.14_latent669
10.013368,8.929757,layers.14_latent670
10.978185,9.909808,layers.14_latent671
10.418729,8.19497,layers.14_latent672
9.10482,10.347854,layers.14_latent673
9.064754,10.89178,layers.14_latent674
12.158812,12.189974,layers.14_latent677
8.364235,11.654116,layers.14_latent678
8.960974,10.972987,layers.14_latent679
9.366807,8.163729,layers.14_latent680
11.803872,8.200556,layers.14_latent681
10.926829,8.45279,layers.14_latent682
11.707544,8.269786,layers.14_latent683
11.818427,12.051642,layers.14_latent684
10.2705,8.673313,layers.14_latent685
9.621486,9.739504,layers.14_latent686
9.301909,11.045969,layers.14_latent687
11.484483,8.675439,layers.14_latent689
11.762568,11.842391,layers.14_latent690
8.613624,11.021603,layers.14_latent691
9.795895,8.572778,layers.14_latent693
11.661913,12.098255,layers.14_latent694
9.654037,10.900586,layers.14_latent695
9.156925,11.219524,layers.14_latent696
10.765518,9.761473,layers.14_latent698
9.462064,8.49275,layers.14_latent699
10.821569,12.637069,layers.14_latent700
11.302714,9.663959,layers.14_latent701
11.842413,12.104969,layers.14_latent702
10.475793,13.471946,layers.14_latent703
11.765657,12.080032,layers.14_latent704
12.132761,10.567669,layers.14_latent705
8.963941,10.724932,layers.14_latent706
9.479335,13.23588,layers.14_latent707
10.31404,8.260632,layers.14_latent708
8.809114,10.670125,layers.14_latent709
10.094402,8.826022,layers.14_latent710
11.482185,12.048445,layers.14_latent711
9.10886,10.812976,layers.14_latent712
9.303605,11.108826,layers.14_latent713
11.942661,11.021223,layers.14_latent714
11.126334,11.514025,layers.14_latent715
10.525737,9.495876,layers.14_latent716
9.83426,7.708591,layers.14_latent717
9.2486105,10.103055,layers.14_latent718
9.085909,9.517922,layers.14_latent719
9.1850395,10.804213,layers.14_latent720
11.181753,11.390685,layers.14_latent721
11.6897745,11.899626,layers.14_latent722
9.9558325,10.517741,layers.14_latent723
9.166138,9.650874,layers.14_latent724
9.630608,8.645366,layers.14_latent725
8.879908,10.704159,layers.14_latent727
9.859586,8.195111,layers.14_latent728
9.2006,10.680845,layers.14_latent729
10.367985,8.161761,layers.14_latent730
11.123356,12.6886635,layers.14_latent731
10.121671,8.359666,layers.14_latent732
8.94148,10.789991,layers.14_latent733
8.875482,10.992532,layers.14_latent734
11.702829,12.289995,layers.14_latent735
9.681,8.431433,layers.14_latent736
8.71057,8.18343,layers.14_latent737
8.849982,12.3092375,layers.14_latent739
11.9989195,11.485271,layers.14_latent740
11.328824,9.088021,layers.14_latent741
10.459294,13.430447,layers.14_latent742
8.952954,10.524039,layers.14_latent743
9.696918,12.855584,layers.14_latent745
11.317342,10.688158,layers.14_latent746
9.345325,11.65243,layers.14_latent748
11.775244,8.361381,layers.14_latent749
9.668342,9.64913,layers.14_latent750
11.886731,10.261162,layers.14_latent751
8.952448,10.959561,layers.14_latent753
9.288033,11.115203,layers.14_latent754
10.20748,9.014265,layers.14_latent755
11.359805,8.826365,layers.14_latent756
10.61615,12.515807,layers.14_latent757
11.917432,9.534963,layers.14_latent758
12.056324,12.263239,layers.14_latent759
10.660918,8.0765915,layers.14_latent760
11.512323,8.516988,layers.14_latent763
9.532589,9.847851,layers.14_latent764
11.666001,10.326231,layers.14_latent765
12.138603,12.283107,layers.14_latent766
11.56056,8.681312,layers.14_latent768
8.134226,12.254966,layers.14_latent770
8.987273,10.666238,layers.14_latent771
11.891691,11.871554,layers.14_latent772
9.885614,8.434324,layers.14_latent773
9.087536,11.333773,layers.14_latent775
8.90868,10.588698,layers.14_latent776
11.339875,9.303715,layers.14_latent777
8.271643,12.122255,layers.14_latent779
11.367282,11.122577,layers.14_latent780
9.503366,8.254549,layers.14_latent781
8.915313,10.613078,layers.14_latent783
9.254322,10.829214,layers.14_latent785
9.535959,12.684087,layers.14_latent786
10.147946,8.294202,layers.14_latent787
12.77389,9.620245,layers.14_latent788
8.96793,10.870551,layers.14_latent789
12.099403,12.081594,layers.14_latent790
9.633008,10.818391,layers.14_latent792
9.990309,7.650069,layers.14_latent793
10.28686,9.9587145,layers.14_latent795
11.777384,11.544564,layers.14_latent797
9.491151,12.63691,layers.14_latent798
8.826163,10.928373,layers.14_latent799
12.281634,10.456397,layers.14_latent800
8.853636,12.050659,layers.14_latent801
10.261494,11.632224,layers.14_latent802
9.311721,11.066647,layers.14_latent803
10.664628,12.681639,layers.14_latent804
8.792046,10.766333,layers.14_latent805
8.974851,10.739896,layers.14_latent806
11.511173,10.265529,layers.14_latent808
9.006746,10.898619,layers.14_latent809
12.155493,11.415778,layers.14_latent810
10.8612995,9.463559,layers.14_latent812
9.922655,8.197612,layers.14_latent813
9.989054,11.322534,layers.14_latent814
10.694181,12.429411,layers.14_latent815
11.359834,11.546618,layers.14_latent816
11.665831,8.111366,layers.14_latent817
11.330938,11.98129,layers.14_latent818
10.346493,10.490283,layers.14_latent819
12.054335,11.771897,layers.14_latent821
11.881594,11.462333,layers.14_latent822
12.178573,10.230712,layers.14_latent823
9.73273,7.8947525,layers.14_latent825
9.011384,10.802707,layers.14_latent826
8.917771,11.120355,layers.14_latent827
10.748906,11.58009,layers.14_latent828
8.972487,10.786583,layers.14_latent829
9.051485,11.005796,layers.14_latent830
10.11343,11.347971,layers.14_latent831
