LatentID,mean_sim_knn,median_sim_knn,min_sim_knn,max_sim_knn
layers.14_latent30846,0.5382523,0.518126,0.34570518,0.83800334
layers.14_latent33176,0.51365954,0.5345503,0.37625518,0.62664574
layers.14_latent11595,0.6499966,0.65147054,0.41612905,0.8251128
layers.14_latent28758,0.5120961,0.56273365,0.32664418,0.63049996
layers.14_latent51687,0.52716076,0.57591164,0.26327586,0.67045605
layers.14_latent51178,0.60156274,0.62530506,0.31583184,0.73342824
layers.14_latent5268,0.44751453,0.4117717,0.27369624,0.7711623
layers.14_latent144,0.34037155,0.3026747,0.17541881,0.6660041
layers.14_latent38233,0.41453815,0.41563547,0.28560492,0.58181745
layers.14_latent46721,0.5188328,0.5216687,0.41160792,0.63168055
layers.14_latent29539,0.43195963,0.43399057,0.27642637,0.64185566
layers.14_latent7732,0.5570339,0.5151644,0.4277549,0.7552886
layers.14_latent24645,0.434242,0.42183182,0.2141175,0.6836874
layers.14_latent22872,0.50595134,0.49888414,0.20471458,0.86494565
layers.14_latent34344,0.4944977,0.47059003,0.26357642,0.70602465
layers.14_latent33912,0.42759275,0.43789667,0.2845206,0.5657099
layers.14_latent21271,0.5722532,0.586239,0.34004104,0.7011515
layers.14_latent36973,0.49078503,0.49108166,0.3675336,0.66407216
layers.14_latent25549,0.5065578,0.48694438,0.35560593,0.78294855
layers.14_latent43304,0.5378122,0.54673713,0.3702029,0.626215
layers.14_latent60171,0.528914,0.51622444,0.36377084,0.79203033
layers.14_latent16305,0.5563928,0.48869538,0.37306547,0.829479
layers.14_latent46430,0.467313,0.47509506,0.32224205,0.7295322
layers.14_latent28169,0.41266948,0.43858227,0.31554064,0.49000525
layers.14_latent59073,0.3668665,0.38117462,0.23820329,0.48835915
layers.14_latent36795,0.6037489,0.60226977,0.42237836,0.8172686
layers.14_latent29418,0.463782,0.44121444,0.37569332,0.5959413
layers.14_latent11939,0.3860014,0.37228447,0.19409317,0.5452625
layers.14_latent28468,0.57386863,0.5379461,0.46891597,0.7597284
layers.14_latent53920,0.5831171,0.58810484,0.39342314,0.77711636
layers.14_latent32267,0.49875814,0.5026951,0.38047305,0.6119814
layers.14_latent55743,0.48691845,0.51606685,0.37236205,0.53853196
layers.14_latent28601,0.54101694,0.5160121,0.3679008,0.74031645
layers.14_latent29711,0.45651332,0.42337885,0.26015466,0.7284288
layers.14_latent50978,0.4956727,0.484765,0.42236152,0.5990226
layers.14_latent62304,0.5697522,0.5342634,0.411422,0.83905363
layers.14_latent51416,0.38991994,0.3840599,0.26883948,0.60787594
layers.14_latent11556,0.48430094,0.5299672,0.25723177,0.6247629
layers.14_latent46292,0.4817207,0.46132106,0.283224,0.6626483
layers.14_latent14043,0.5814289,0.6163914,0.2821365,0.78773314
layers.14_latent48778,0.2887081,0.2757897,0.1831455,0.38779056
layers.14_latent19047,0.52113706,0.52855706,0.32367674,0.6718314
layers.14_latent58548,0.4641781,0.43858916,0.22228315,0.67730755
layers.14_latent3719,0.51476127,0.5071061,0.40741152,0.6920343
layers.14_latent36859,0.44533214,0.46346948,0.17034112,0.5862686
layers.14_latent27428,0.441526,0.43830308,0.36856547,0.5736507
layers.14_latent25893,0.54783016,0.51442796,0.315957,0.85767126
layers.14_latent14720,0.59520876,0.6001018,0.42755702,0.8156233
layers.14_latent26790,0.594996,0.5680199,0.509037,0.8251164
layers.14_latent24161,0.47152767,0.44673446,0.2903242,0.704631
layers.14_latent34420,0.5635496,0.6064162,0.3126414,0.67647487
layers.14_latent29332,0.5480499,0.50718975,0.41548216,0.7687897
layers.14_latent53415,0.6139104,0.6035602,0.40031698,0.8686807
layers.14_latent59134,0.535238,0.52635086,0.23502296,0.7621736
layers.14_latent48884,0.3710396,0.3582663,0.22970895,0.5992444
layers.14_latent3186,0.5980381,0.62090415,0.3894856,0.7592242
layers.14_latent9261,0.59267414,0.6034058,0.37294206,0.71462154
layers.14_latent1061,0.57911307,0.5528225,0.4341244,0.7814715
